,final,sentiment
583,great application improve speak english,POSITIVE
584,beautiful helpful,POSITIVE
585,app beginner good app learn english language,POSITIVE
586,good app help app learn english language easily,POSITIVE
587,slow age respond,NEGATIVE
588,good app know talk person english language,POSITIVE
589,excellent app learner,POSITIVE
590,love wish offline app know enjoy learn,POSITIVE
591,pay customer app rich fee,POSITIVE
592,ai social network friend good practice grow skill,POSITIVE
593,beautiful want use money,POSITIVE
594,good app understand,POSITIVE
595,ai app helpful help way pronounce word,POSITIVE
596,ai tutor good app iam new person app iam learn english app app,POSITIVE
597,perfect good idea learn english correctly,POSITIVE
598,easy hurry way learn english start try charge,POSITIVE
599,helpful learn read english speak english,POSITIVE
600,easy good learn english,POSITIVE
601,great app learn english especially speaking skill,POSITIVE
602,know write poor grammer want speak want expert grammer,NEGATIVE
603,useful application,POSITIVE
604,interesting improve english speak learna,POSITIVE
605,great app beginner advance level english language learn,POSITIVE
606,good app learn english language want free butter,POSITIVE
607,ai great app want improve english,POSITIVE
608,amazing app provide chance improve language skill,POSITIVE
609,good app simple smooth communication,POSITIVE
610,simple nice,POSITIVE
611,good application interested,POSITIVE
612,learna ai educative easy learn know speak english,POSITIVE
613,app help improve english speaking skill,POSITIVE
614,app usefull 100 percent recommend app,POSITIVE
615,great idea tool develop language culture,POSITIVE
616,good pratice properly language english,POSITIVE
617,try speak mic work tak lifetime processing,NEGATIVE
618,great actually like pay app,POSITIVE
619,rip want money teach english want speak pay listen google ai assistant free,POSITIVE
620,app awesome pretty sad study free,POSITIVE
621,t app wonderful afford miss try testify,POSITIVE
622,fantastic app,POSITIVE
623,good wrong thing select 5 min talk launa,NEGATIVE
624,free charge learn english good,POSITIVE
625,good app speak english ai robot free.it pay expensive poor people,NEGATIVE
626,useful learn english thank alot day,POSITIVE
627,time use app great recommend use app learn english,POSITIVE
628,good application learn english language,POSITIVE
629,cheap chat gpt focus english lesson guide ai fantastic love,POSITIVE
630,helpful app easy learn english,POSITIVE
631,helpful help learn english,POSITIVE
633,beautiful medium daily work easy,POSITIVE
634,good learn english home,POSITIVE
635,good ai help improve english,POSITIVE
636,good app help improve level english,POSITIVE
637,effective way learn english,POSITIVE
638,good app feel like learn english easily,POSITIVE
639,good training center,POSITIVE
640,good app download want learn english,POSITIVE
641,good turor recommend explain structure sentence,POSITIVE
642,like application try help improve english,POSITIVE
643,actually improve pronunciation speaking confidence,POSITIVE
644,cancel account detect money account stop auto payment system,NEGATIVE
645,great thing create great joy,POSITIVE
646,4.5 nice experience sound ai crack,POSITIVE
647,excellent app learn improve english grammar,POSITIVE
648,app work card detail rude,NEGATIVE
649,nice learna friendly,POSITIVE
650,good app improve english speaking skill,POSITIVE
651,grate aap pay nee good internet,POSITIVE
652,app service good 4 minute trial ask subscription expensive,POSITIVE
653,perfect app learn english effectively,POSITIVE
654,program helpful learn english,POSITIVE
655,improve english language,POSITIVE
656,nice app develop english skill,POSITIVE
657,perfect learn english language good good,POSITIVE
658,application good help learn english,POSITIVE
659,app improve english language good aap english speak learner,POSITIVE
660,good app learn english speak like computer,POSITIVE
661,wonderful easy learn appreciate,POSITIVE
662,great app learn knowledge love app helpful beginner thank,POSITIVE
663,app helpful learn english language help,POSITIVE
664,app good think help improve english knowledge thank,POSITIVE
665,ok bit slow,POSITIVE
666,perfect want learn improve english,POSITIVE
667,good app learn,POSITIVE
668,ai learner learn easy fun.i love,POSITIVE
669,application incredible,NEGATIVE
670,good app learning student,POSITIVE
671,app important,POSITIVE
672,good like app issue stuck good,POSITIVE
673,nice app begine,POSITIVE
674,leaarna help understand analyze question,POSITIVE
675,good app use,POSITIVE
676,learn english,NEGATIVE
677,interesting,POSITIVE
678,good app,POSITIVE
679,nice practice app,POSITIVE
680,wow grrat app,POSITIVE
681,good app learn english ad download,POSITIVE
682,good learn,POSITIVE
683,native indonesian happy learn use learn,POSITIVE
684,comfortable learn app,POSITIVE
685,good expirnce,POSITIVE
686,doctor order,NEGATIVE
687,app good,POSITIVE
689,useless app,NEGATIVE
690,learna soo good,POSITIVE
691,think app good learn english,POSITIVE
692,charge money permission,NEGATIVE
693,useful app,POSITIVE
694,nice game,POSITIVE
695,helpful app,POSITIVE
696,berre good app gjkun,POSITIVE
697,nice,POSITIVE
698,amazing app,POSITIVE
699,want study want money time free money download app money wen tanishka think tanishka nice meet understand,POSITIVE
700,good app b c short day english communicate,POSITIVE
701,irritate app world greedy person aap money collection client download caution review pay,NEGATIVE
702,good app learn language,POSITIVE
703,free learn good option learn free,POSITIVE
704,love like bro love,POSITIVE
705,good english training app excellent wrong charger money,POSITIVE
706,great app download enjoy,POSITIVE
707,use app amazing good opportunity english learning,POSITIVE
708,great way improve english,POSITIVE
709,learna ai good ai,POSITIVE
710,good app learn english language,POSITIVE
711,wonderful ai application tutor pleasure user,POSITIVE
712,good app practice english practice suggest app becouse extremly good english language,POSITIVE
713,love use learna good app learn easy,POSITIVE
714,love,POSITIVE
715,app world realstic good ai english compitetion,POSITIVE
716,nice improve english level happy english language app,POSITIVE
717,spam shoppee pay succesfull money 400 php open log need customer support chance use pro version,POSITIVE
718,far lecture good helpful,POSITIVE
719,good total english add native language,POSITIVE
720,start good experience hold buy plan 3 star,POSITIVE
722,good app learn speak english,POSITIVE
723,learna good app english practice,POSITIVE
724,good talk sri lankan people use native language sinhala,POSITIVE
725,good platform,POSITIVE
726,nice app people happy good s o good good nic e work,POSITIVE
727,love amazing app sadly free need purchase try find free,POSITIVE
728,app help lot improve english level,POSITIVE
729,good way learn english cost lot,POSITIVE
730,amazing app improve speaking skill,POSITIVE
731,stupid application error avoid end lecture ask mistake close lecture answer mistake need correct,NEGATIVE
732,want learn english money hard pay stuff currently face financial difficulty challenge cover expense try save spend money thing try save unexpected expense force spend want save income wish save income stable cover expenses.thks f y help,POSITIVE
733,slow record voice reply message like 5 minute fast app,POSITIVE
734,fine follow application depend national language adjust setting nepali language use download follow app nepali language,POSITIVE
735,learna ai language tutor app solution master english language learn english grammar speaking reading pronunciation vocabulary practice learna ai language learn journey traditional method 100 recommend,POSITIVE
736,record button work expect screen stuck click leave record button instead hold,NEGATIVE
737,look 4.9 rating buy package try voice recognition correctly follow speak annoying money,NEGATIVE
738,nice app improve english communication,POSITIVE
739,smooth help improve english,POSITIVE
740,time low limited,NEGATIVE
741,good application lot ad,POSITIVE
742,learn english good interested,POSITIVE
743,usefully app life sure definitely speak english language day,POSITIVE
744,thank help,POSITIVE
745,good teacher 80,POSITIVE
746,l want improve english learna free cost consider request,POSITIVE
747,outstanding app learn easily,POSITIVE
748,nice app learn english speak grammar,POSITIVE
750,real good english translation,POSITIVE
751,great place improve knowledge sphere study,POSITIVE
752,realy good practice improve english skill happy thank learna costly low price,POSITIVE
753,internet good pay money good buzz good,POSITIVE
754,wonderful app amazing relay,POSITIVE
755,app excellent learner level,POSITIVE
756,great interactive application yo practice english,POSITIVE
757,excellent network learn english,POSITIVE
758,good.help alot,NEGATIVE
759,good english learning app amazing,POSITIVE
760,good experience great application,POSITIVE
761,absolutely gorgeous learn english,POSITIVE
762,easy use easily understandable,POSITIVE
763,helpful app improve english language,POSITIVE
764,good app learn language like lot,POSITIVE
767,app soo good learn speak frequent english,POSITIVE
768,great app fluent english,POSITIVE
769,good self learner love wonderful app,POSITIVE
770,feel happy learn english learn anytime free time,POSITIVE
771,good app sure recommend instal supportive phone,POSITIVE
772,nice app,POSITIVE
773,good use improve english,POSITIVE
774,pay app fraudulently drive install ask pay,NEGATIVE
775,app good speak english,POSITIVE
779,native language sinhala sri lanka find,NEGATIVE
780,hello good application,POSITIVE
781,great app work pc,POSITIVE
783,want speak queen english app work perfectly,POSITIVE
784,vary nice helpful learn english,POSITIVE
786,nice app think free payment,POSITIVE
787,app slow,NEGATIVE
789,ask payment anyways app ok ok,POSITIVE
790,great application world,POSITIVE
791,grade app star amazing term learn,POSITIVE
792,nice app student try,POSITIVE
793,helpfull improve speaking skill,POSITIVE
794,app useful helpful prove english,POSITIVE
795,great app somebody want learn english,POSITIVE
796,cancel option join free trail,POSITIVE
798,stick time guess need human fix,NEGATIVE
799,thank app helpful learn student,POSITIVE
801,good platform learn basic english communication,POSITIVE
802,learn lot english,NEGATIVE
803,love app upbringe english language,POSITIVE
805,good application practice english love,POSITIVE
806,bravo french try learn english app ecstatic,POSITIVE
807,time waste ask bank detail upi etc careful uninstalle,NEGATIVE
808,good language learning app,POSITIVE
809,outstanding appp improve english,POSITIVE
811,great helpful,POSITIVE
812,nice way learn english.this good platform.i happy install app,POSITIVE
813,log,NEGATIVE
814,perfect app people look english learning free app people learn thank ai,POSITIVE
815,great learn english speaking,POSITIVE
816,helpful app practice learn new language,POSITIVE
817,app good want money add money yo work work free ai people add money practice chatgpt free cost suggest install chat gpt knowledge speak practice learn chat gpt,POSITIVE
818,excellent job identify individual voice,POSITIVE
819,scam app add bank account detail money deduct automatically stop,NEGATIVE
820,app little slow return,NEGATIVE
821,good nice tiche app,POSITIVE
823,nice app poor afford subscription plan want subscribe 1 year description expensive country like 120,POSITIVE
824,lag use properly,NEGATIVE
825,useful learn speak spell word good writing need need practice speech,POSITIVE
826,install stupid app find helpful deduct money inform delete account uninstalle app immediately,NEGATIVE
827,app satisfying,POSITIVE
828,improve english use app week recommend,POSITIVE
829,awesome helpful sure percent,POSITIVE
830,easy learn reply ai immediately voice nice clearity,POSITIVE
831,learn platform,NEGATIVE
832,app perfect improve speak skill,POSITIVE
833,app work bengali region english,NEGATIVE
834,like application hope improve language soon,POSITIVE
835,recommend like ad suit people a1 a2,POSITIVE
838,listen fastly slow app,NEGATIVE
840,yeah improve good teacher,POSITIVE
841,good app promote speak easly way,POSITIVE
842,good problem,POSITIVE
845,good application recommend study english,POSITIVE
846,good ai leraner improve english ai learner highly recommend,POSITIVE
847,good tech english language,POSITIVE
848,good english speak app,POSITIVE
849,nice app helpful learn english,POSITIVE
851,perfect app learn english easy,POSITIVE
852,good app improve speaking skill free thank lot incredible app,POSITIVE
853,rating bcz rating effect understand user want actually app intro welcome > > interest > country > country pakistan decide write review,POSITIVE
854,good way learn english,POSITIVE
855,aap helpful english learning,POSITIVE
857,feel comfortable fluent chat ai,POSITIVE
858,80 million kurd world kurdish language come choose native language suppose choose,NEGATIVE
859,wonderful application practice english,POSITIVE
860,great appreciation learn english,POSITIVE
861,good way learn english communication,POSITIVE
862,free test pay like,POSITIVE
863,like premium version like free version like doulingo app waste time premium want use pay 8700rupee,POSITIVE
864,good need time 5 minute free version,POSITIVE
865,like help understand,POSITIVE
866,good app learn english thank,POSITIVE
867,like talk friend nice,POSITIVE
869,perfect english app,POSITIVE
870,good language school,POSITIVE
871,great free tool,POSITIVE
872,great tutor like,POSITIVE
873,great app english improvement,POSITIVE
875,want cancel weekly subscription reason unable guide able,NEGATIVE
876,want unsubscribe use app directly deduct money account help,POSITIVE
877,excellent experiment app learn kind enjoy,POSITIVE
878,app important practice english,POSITIVE
879,great improve english,POSITIVE
880,good app english practice,POSITIVE
881,recently app work reinstall resolve,POSITIVE
882,encourage people use app develop english sufficiency,POSITIVE
883,great app want imporove english,POSITIVE
884,english 2024 cery bad english,NEGATIVE
885,let enjoy experience learn english,POSITIVE
886,subscription fee expensive,NEGATIVE
887,helpfully learn early spoken english fluently,POSITIVE
888,nice app thank developer,POSITIVE
889,amazing help use,POSITIVE
890,english speaking practice,NEGATIVE
891,useful english partner,POSITIVE
892,good app want know english,POSITIVE
893,advertisement learn,NEGATIVE
894,good application learn english language wao amazing,POSITIVE
895,excellent speech writing,POSITIVE
896,app amazing payment,POSITIVE
897,select hebrew native language step,NEGATIVE
898,pop interested rid pop,POSITIVE
899,thing good ai use large paragraph,POSITIVE
900,helpful improve english speaking,POSITIVE
901,lratna great tutor like english teach good talent,POSITIVE
902,happy learn talk learna,POSITIVE
903,usele start english text chat ask native language assume user understand english plus audio wth,NEGATIVE
904,start good w,POSITIVE
905,great application study,POSITIVE
906,perfect app improve,POSITIVE
908,nice program learn english,POSITIVE
909,application good english tutor,POSITIVE
910,app useful app english learning insha'allah app improve,POSITIVE
911,great tool learn english,POSITIVE
912,nyc ai application improve english speaking skill,POSITIVE
913,subscription carry learn,NEGATIVE
915,nice platform learn grateful,POSITIVE
916,absolutely lovely speed look like rocket love,POSITIVE
917,nice learn app language,POSITIVE
918,useful use app start learn english,POSITIVE
919,impressive app learner,POSITIVE
920,wow amazing experience,POSITIVE
921,amazing app learn english love,POSITIVE
922,learn english improve knowledge use app,POSITIVE
924,son learn english today english exam,NEGATIVE
925,extremely great app learn english,POSITIVE
926,great app improve language,POSITIVE
927,helpful app improve english far,POSITIVE
928,good ask money,POSITIVE
929,time impressed app,POSITIVE
930,speak spanish learn english,NEGATIVE
931,good deserve 5 star,POSITIVE
932,love app use day,POSITIVE
934,use application time happy,POSITIVE
935,free good,POSITIVE
936,nice beautiful easy,POSITIVE
937,good app useful,POSITIVE
938,option kannada native language,NEGATIVE
939,good application learn,POSITIVE
940,nice app nice contribution,POSITIVE
941,app perfect app,POSITIVE
942,good application,POSITIVE
944,useless ridiculous,NEGATIVE
945,good,POSITIVE
946,force plan test app,NEGATIVE
948,app excellent,POSITIVE
949,truly amazing human,POSITIVE
950,great app close real smart human,POSITIVE
951,app try good,POSITIVE
952,useful app appreciate,POSITIVE
953,good app english learn,POSITIVE
954,brilliant app,POSITIVE
955,good expensive,POSITIVE
956,app useful,POSITIVE
957,different app,NEGATIVE
959,nice app highly recommend,POSITIVE
960,helpful bigner,POSITIVE
962,love idea away,POSITIVE
963,new inthis yeah good response,POSITIVE
964,excellent app,POSITIVE
965,perfect man super dooper,POSITIVE
966,sooo good thank,POSITIVE
969,good perfect,POSITIVE
970,nice helpful,POSITIVE
973,hope free time,POSITIVE
974,good tool practice speaking skill,POSITIVE
975,experience good talk,POSITIVE
976,se impressive app,POSITIVE
977,nice app learn,POSITIVE
978,good helpful app,POSITIVE
979,halpful application like app request romove charge app need able app,POSITIVE
980,app award good teaching app year,POSITIVE
981,good beginner,POSITIVE
982,experience learna great enjoy,POSITIVE
983,good work beginner people learn english,POSITIVE
984,amazing app learn english,POSITIVE
985,good learning app english student highly recommend,POSITIVE
986,like app learn english fast prefer app like,POSITIVE
987,app good try reply question run slowly problem,POSITIVE
988,effective good training.i like,POSITIVE
989,excellent app learn english,POSITIVE
990,amazing,POSITIVE
992,good ask money start demanding,POSITIVE
993,pleasure,POSITIVE
994,like use things:3,POSITIVE
996,application good learn english,POSITIVE
998,nice app expensive,POSITIVE
999,merry use app modern world,POSITIVE
1001,great app thank provide wonderful app.it help learn english,POSITIVE
1003,amazing english practice,POSITIVE
1004,good learn speek englesh,POSITIVE
1005,good practice,POSITIVE
1006,good learn language,POSITIVE
1007,nice app personalize training session,POSITIVE
1009,good app like,POSITIVE
1010,great place learn,POSITIVE
1012,good ready learn,POSITIVE
1013,good app conversation,POSITIVE
1014,great app helpful,POSITIVE
1015,amazing app good app,POSITIVE
1016,help legend everyday english,POSITIVE
1017,improve english,POSITIVE
1018,speak english like little bit,POSITIVE
1019,good good pay,POSITIVE
1020,fun study,POSITIVE
1021,good partner develop communication,POSITIVE
1022,useful app plz install learn,POSITIVE
1023,consent active subscription,POSITIVE
1024,nice good thing,POSITIVE
1025,work,NEGATIVE
1026,great app awesome,POSITIVE
1027,start good work,POSITIVE
1028,enjoy appy enjoy appy,POSITIVE
1029,app amazing love,POSITIVE
1030,great app yo learn,POSITIVE
1031,nice english good,POSITIVE
1032,great app,POSITIVE
1033,good good morning good evening,POSITIVE
1034,grat app learn,NEGATIVE
1035,great use app,POSITIVE
1036,app amazing like,POSITIVE
1037,l need time,NEGATIVE
1038,great ai learn,POSITIVE
1039,amazing helpful,POSITIVE
1040,great easy use app,POSITIVE
1041,usefull app awsome,NEGATIVE
1042,nice start thank tou,POSITIVE
1043,nice use,POSITIVE
1044,english class good opportunity friend,POSITIVE
1045,happy helpful,POSITIVE
1046,nice bad app,NEGATIVE
1047,nice enjoy,POSITIVE
1048,fun,POSITIVE
1049,yeah good hang,POSITIVE
1050,great study,POSITIVE
1051,app learn new thing,NEGATIVE
1053,english good,POSITIVE
1054,use app,NEGATIVE
1055,easy work,POSITIVE
1056,great carefully,POSITIVE
1057,good free,POSITIVE
1058,perfect want,POSITIVE
1059,wonderful application,POSITIVE
1060,wonderfull application like,POSITIVE
1062,interested hear english,POSITIVE
1064,app great,POSITIVE
1066,verry good grate jobe,POSITIVE
1067,great learn,POSITIVE
1069,great,POSITIVE
1070,amazing experience learna,POSITIVE
1074,great help,POSITIVE
1075,nice app learn bhot word,POSITIVE
1077,good app happy,POSITIVE
1079,amazing app empress,POSITIVE
1081,nice ai app,POSITIVE
1082,good yeah,POSITIVE
1083,good game love ai,POSITIVE
1085,reply slowly,NEGATIVE
1086,awesome app good,POSITIVE
1087,good teacher thank,POSITIVE
1088,app nice,POSITIVE
1089,work good,POSITIVE
1091,fantastic like,POSITIVE
1092,good learn app,POSITIVE
1093,great experience far,POSITIVE
1094,good app love,POSITIVE
1095,work great,POSITIVE
1096,great teacher,POSITIVE
1097,amazing app use,POSITIVE
1098,amazing ai app,POSITIVE
1099,open reason,NEGATIVE
1102,advertise,NEGATIVE
1103,awesome,POSITIVE
1104,work fine,POSITIVE
1106,amazing great app,POSITIVE
1107,helpful app good,POSITIVE
1108,help,POSITIVE
1109,great fun,POSITIVE
1110,perfect,POSITIVE
1111,great good ai learner,POSITIVE
1112,great app nice,POSITIVE
1113,good ask refund debit morning need refund,POSITIVE
1114,beautiful,POSITIVE
1115,useful improve english,POSITIVE
1117,use app helpful learn different language build confidence try recommend,POSITIVE
1118,fantastic app learner,POSITIVE
1119,great app like use,POSITIVE
1120,app amazing fun learn english,POSITIVE
1121,good practise language learn english,POSITIVE
1122,great app learn english language,POSITIVE
1123,good improve english language,POSITIVE
1124,download app know little know good pretty,POSITIVE
1125,great app practice language,POSITIVE
1126,mic recording malfunction,NEGATIVE
1127,nice app meet social medium fact love application,POSITIVE
1128,perfect app good english speaker help feel lonely,POSITIVE
1129,love nice app,POSITIVE
1130,good ai charge money request guy,POSITIVE
1131,good app helpful beginner,POSITIVE
1132,work pay huge money weekly,POSITIVE
1133,great app learning begainner english language,POSITIVE
1134,amazing excellent app use,POSITIVE
1135,good interesting love app,POSITIVE
1136,good app english speaking beginner,POSITIVE
1137,overall good,POSITIVE
1138,useful app learn english lanauge thank developer,POSITIVE
1139,excellent way learn english,POSITIVE
1140,wow amazing thank lot great job,POSITIVE
1141,app good improve speaking skill,POSITIVE
1142,app helpful learn english,POSITIVE
1143,good practie speaking skill,POSITIVE
1144,pay app non english lot money sleep app,NEGATIVE
1145,good platform learn english,POSITIVE
1148,learna ai seriously interested app believe improve know,POSITIVE
1149,perfect way learn english,POSITIVE
1150,easy way master language,POSITIVE
1151,great learn english,POSITIVE
1152,easy use preity voice,POSITIVE
1154,good plateform learn english speak,POSITIVE
1155,try soo far awesome sure day benefit lot,POSITIVE
1156,good language learn app,POSITIVE
1157,good platform learn,POSITIVE
1158,great app .you improve lot thing easily,POSITIVE
1159,price high affordable week,NEGATIVE
1160,like app teach clearly,POSITIVE
1161,incredible learning learna,NEGATIVE
1162,helpful develop english level,POSITIVE
1163,good english learning aap learn english,POSITIVE
1164,nice app step step english conversation learn,POSITIVE
1166,excellent app boost english knowledge,POSITIVE
1167,amazing simple guidance way,POSITIVE
1169,good english learning exercise love,POSITIVE
1170,think app good help improve english far,POSITIVE
1171,good idea app people understand english,POSITIVE
1172,brilliant app help english learn journey,POSITIVE
1173,like learna helpful,POSITIVE
1175,teach free unfortunately,POSITIVE
1176,perfect practice speak partner,POSITIVE
1177,ai lose voice free,POSITIVE
1178,good app improve level english,POSITIVE
1179,learn english fast simple,NEGATIVE
1180,good tool learn english,POSITIVE
1182,look amazing app happy use entire generation,POSITIVE
1183,marvellous way learn english use app,NEGATIVE
1184,5 minute time buy premium lol,POSITIVE
1185,usually good english learning,POSITIVE
1186,far pleased practice interaction,POSITIVE
1187,simple speak english great ai app,POSITIVE
1188,great way improve speak english,POSITIVE
1189,good speak learn app,POSITIVE
1190,simple easy thank,POSITIVE
1191,good platform english,POSITIVE
1192,soon ask pronoun uninstalle pronoun man stupid pronoun functional brain,NEGATIVE
1193,easy learn english use app,POSITIVE
1194,good application improve english,POSITIVE
1195,good subscribe cancel,POSITIVE
1196,good way learn speak english,POSITIVE
1197,free charge,POSITIVE
1198,costly app work properly,NEGATIVE
1199,teaching way good,POSITIVE
1200,love app understand thing english,POSITIVE
1201,good app enhance english speaking,POSITIVE
1203,significant free online service like iphone user use free,POSITIVE
1204,easy way learn language,POSITIVE
1205,good app improve english knowledge,POSITIVE
1206,great app english training,POSITIVE
1207,great learn app learn fast,POSITIVE
1209,great app improve english,POSITIVE
1210,good app learn simple way,POSITIVE
1211,free learn english easily,POSITIVE
1212,good help alot english,POSITIVE
1213,think app improve,POSITIVE
1214,good app english language speak,POSITIVE
1215,easy learn comfortable,POSITIVE
1216,great platform learn speak english,POSITIVE
1217,good idea ask subscription upfront,POSITIVE
1218,install app charge confirmation n approval,POSITIVE
1219,like study real teacher,POSITIVE
1220,great app speak english,POSITIVE
1221,app learn english,NEGATIVE
1222,good expert learn english great people study speak english great,POSITIVE
1224,great app english language practice,POSITIVE
1225,good resource learn english,POSITIVE
1226,easy learn english,POSITIVE
1227,tooo good useful learn easy way social mooving,POSITIVE
1231,native language sinhala available,NEGATIVE
1232,amazing experience learna ai helpful,POSITIVE
1233,learn improve english,POSITIVE
1234,good app know english come app,POSITIVE
1235,great app learn good english,POSITIVE
1236,good app good al app learn good reliable upgrading english,POSITIVE
1237,app help speak construct good english,POSITIVE
1238,amazing learn english,POSITIVE
1239,nice free level,POSITIVE
1240,credible source english learning,NEGATIVE
1241,good app speak english,POSITIVE
1242,easy learn english speaking,POSITIVE
1243,good app help practice english,POSITIVE
1244,amazing app learn english language,POSITIVE
1246,app amazing eng section 30 min,POSITIVE
1247,beautiful app learn english language easy,POSITIVE
1249,great app begginer start learn,POSITIVE
1250,app good love app money lovee,POSITIVE
1251,good free access teaching free charge,POSITIVE
1252,good apk learn english,POSITIVE
1253,n possibility talk hav conversation s pretty useless,POSITIVE
1254,love learna ai teach love,POSITIVE
1257,good english learning,POSITIVE
1258,useful child,POSITIVE
1260,beneficial learn english,POSITIVE
1262,fantastic application especially beginner,POSITIVE
1263,boring pay learn like,NEGATIVE
1264,nice app knowledge english,POSITIVE
1266,free class subscribe weekly subscription 699 subscribe,POSITIVE
1267,good pay course free,POSITIVE
1268,app fantastic help learn english,POSITIVE
1269,actually good app improve diction,POSITIVE
1271,good payment method high,POSITIVE
1273,wonderful app develop english language,POSITIVE
1274,good ai program help speak english assistant,POSITIVE
1275,good learn english speak,POSITIVE
1276,kindly remove pay open new feature,POSITIVE
1277,good practice english software ai,POSITIVE
1278,great medium learn english,POSITIVE
1279,good ai app improve english,POSITIVE
1281,good cos hve learn english,POSITIVE
1283,free download app service free version,POSITIVE
1284,good job learn bit bit thank,POSITIVE
1286,practice pronounce word,NEGATIVE
1287,perfect learning english,POSITIVE
1288,good app practice language,POSITIVE
1289,perfect mind busy creative,POSITIVE
1290,l t great app help improve english,POSITIVE
1291,easy way learn english,POSITIVE
1292,simplified friendly judge,POSITIVE
1293,good improve language,POSITIVE
1294,app good choice teach english,POSITIVE
1296,nice learn ko easy speak english,POSITIVE
1298,good work app eng learn,POSITIVE
1299,great way learn english,POSITIVE
1300,excellent app guide,POSITIVE
1303,great app interactive,POSITIVE
1304,great app amazing great app fully aware,POSITIVE
1305,good want learn free money,POSITIVE
1306,nice app english practicing love,POSITIVE
1308,excellent app.i appreciate hard work,POSITIVE
1309,speak learn app,NEGATIVE
1310,support arabic native language,POSITIVE
1311,amazing money,POSITIVE
1312,good working use think bast,POSITIVE
1313,voice input work,NEGATIVE
1314,easy amazing application,POSITIVE
1315,voice problem app,NEGATIVE
1316,good app beginner like recommend,POSITIVE
1318,audio long,NEGATIVE
1319,disappointing work,NEGATIVE
1320,nice commercial learn english,POSITIVE
1321,simple fun use,POSITIVE
1322,thank creator app app amazing,POSITIVE
1323,app good learn good english,POSITIVE
1324,buy license device,NEGATIVE
1325,good study english,POSITIVE
1327,good learn english app,POSITIVE
1328,great learn learna ai,POSITIVE
1329,app help improve language knowledge,POSITIVE
1330,app helpful speak skill,POSITIVE
1331,great app like disccount price,POSITIVE
1332,practice speak english,NEGATIVE
1333,good app try language,POSITIVE
1334,free learn english pay money true pay money open application,POSITIVE
1336,nice platform inhance speak english,POSITIVE
1337,great love english accent,POSITIVE
1338,fantastic learn english,POSITIVE
1339,app sensational think hav improve love,POSITIVE
1340,educational good learning app,POSITIVE
1342,good aap learn english,POSITIVE
1343,nice app learn language tutorial,POSITIVE
1344,app useful english learner,POSITIVE
1345,tish good app english,POSITIVE
1346,fantastic app improve english,POSITIVE
1347,interactive love,POSITIVE
1350,great experience app perfect,POSITIVE
1352,nice feel bad ai communication,NEGATIVE
1353,good important practice english,POSITIVE
1354,want invite friend good right like desire,POSITIVE
1355,good app practise english speaking,POSITIVE
1356,learning good hobby enjoy app,POSITIVE
1357,fun.i learn intreste thing,NEGATIVE
1359,good intersting creative app,POSITIVE
1361,app ver perfectly hope people follow app ready day,POSITIVE
1362,nice stree learn english language thank learna ai,POSITIVE
1363,good app learner english,POSITIVE
1366,improve ai character speak style,POSITIVE
1367,amazing english learning app use thank,POSITIVE
1368,perfect think app improve talk,POSITIVE
1370,good learning english,POSITIVE
1371,learn fast time app good,POSITIVE
1372,great application learn english,POSITIVE
1373,advertising,NEGATIVE
1375,hy bro great place stay enjoy good day great place start family,POSITIVE
1377,amazing app people want learn english,POSITIVE
1378,good english practice,POSITIVE
1379,good app seek english,POSITIVE
1380,pakitan costly ask rs 1400 week mean rs.200 daily remember build gemini smart phone answer question help learn english,POSITIVE
1381,beautyful english learning application,NEGATIVE
1382,use learn,NEGATIVE
1384,deduct app account auto refund payment,NEGATIVE
1385,good app indian people speak english app help east learn english,POSITIVE
1386,nice way learn english,POSITIVE
1388,nice learn speak english thank,POSITIVE
1389,love app amazing interesting,POSITIVE
1394,need pay like seriously add,POSITIVE
1395,ad,NEGATIVE
1396,hindi english essay learn english hindi request change english athar language,NEGATIVE
1397,nice platform practice english,POSITIVE
1398,app useful think download,POSITIVE
1399,good app speak course,POSITIVE
1400,great app learn english easily,POSITIVE
1401,let learn daily minute end,NEGATIVE
1402,great opportunity appreciate great app,POSITIVE
1403,easy fun study,POSITIVE
1404,good application educate language,POSITIVE
1405,app humble learn english,NEGATIVE
1406,good app lean language,POSITIVE
1407,good app teach people language,POSITIVE
1408,want app app rate high like pay,POSITIVE
1409,let support educate west pakistan student english language provide free app service thank unesco pakistan british council uk west pakistan google company,POSITIVE
1411,excellent wonderful app download,POSITIVE
1412,like app improve reading,POSITIVE
1413,great ai tool english improve thank,POSITIVE
1414,good way improve language,POSITIVE
1415,nice app learn language,POSITIVE
1416,work respond slow,NEGATIVE
1418,owsome app practice english language,NEGATIVE
1419,app help improve english,POSITIVE
1420,enjoy english speaking practice app,POSITIVE
1421,nice easy learn thank alot,POSITIVE
1422,awsome app learn english,NEGATIVE
1423,awesome good way improve speaking,POSITIVE
1424,easy understand,POSITIVE
1425,great practice beginner,POSITIVE
1426,fantstico practice persona real time,NEGATIVE
1427,wonderful app tou learn english,POSITIVE
1428,ap good good practice start speak,POSITIVE
1430,english learning app good,POSITIVE
1431,excellent learn english app,POSITIVE
1432,cool learner,POSITIVE
1433,great app english learning,POSITIVE
1434,app good way learn english,POSITIVE
1435,important app practice english dail life,POSITIVE
1436,good app enjoy learn english,POSITIVE
1437,great app practice english,POSITIVE
1438,good think good offline,POSITIVE
1439,ai tool amazing begainer english learner,POSITIVE
